% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
2.135	2	1	214	6	1	2	573
2.136	1	1	214	7	1	28	9422
2.136	2	1	214	7	1	2	573
2.156	1	1	216	7	1	28	9422
2.157	1	1	216	8	1	28	9422
2.162	2	1	217	3	1	2	573
2.163	1	1	217	4	1	28	9422
2.163	2	1	217	4	1	2	573
2.164	1	1	217	5	1	28	9422
2.164	2	1	217	5	1	2	573
2.165	1	1	217	6	1	28	9422
2.165	2	1	217	6	1	2	573
2.166	1	1	217	7	1	28	9422
2.166	2	1	217	7	1	2	573
2.167	1	1	217	8	1	28	9422
2.167	2	1	217	8	1	2	573
2.168	1	1	217	9	1	28	9422
2.168	2	1	217	9	1	2	573
2.169	1	1	217	10	1	28	9422
2.169	2	1	217	10	1	28	9422
2.17	1	1	218	1	1	28	9422
2.171	1	1	218	2	1	28	9422
2.172	1	1	218	3	1	28	9422
2.173	1	1	218	4	1	28	9422
2.174	1	1	218	5	1	28	9422
2.175	1	1	218	6	1	28	9422
2.176	1	1	218	7	1	28	9422
2.177	1	1	218	8	1	28	9422
2.197	1	1	220	8	1	28	9422
2.197	2	1	220	8	1	28	9422
2.198	1	1	220	9	1	28	9422
2.204	1	1	221	5	1	28	9422
2.204	2	1	221	5	1	28	9422
2.209	1	1	221	10	1	2	573
2.21	1	1	222	1	1	2	573
2.211	1	1	222	2	1	2	573
2.212	1	1	222	3	1	2	573
2.213	1	1	222	4	1	2	573
2.214	1	1	222	5	1	2	573
2.215	1	1	222	6	1	2	573
2.215	2	1	222	6	1	28	9422
2.216	1	1	222	7	1	28	9422
2.216	2	1	222	7	1	28	9422
2.217	1	1	222	8	1	28	9422
2.217	2	1	222	8	1	28	9422
2.218	1	1	222	9	1	28	9422
2.218	2	1	222	9	1	28	9422
2.219	1	1	222	10	1	28	9422
2.219	2	1	222	10	1	28	9422
2.22	1	1	223	1	1	28	9422
2.22	2	1	223	1	1	28	9422
2.221	1	1	223	2	1	28	9422
2.221	2	1	223	2	1	28	9422
2.222	1	1	223	3	1	2	573
2.222	2	1	223	3	1	28	9422
2.223	1	1	223	4	1	28	9422
2.223	2	1	223	4	1	2	573
2.243	1	1	225	4	1	2	573
2.243	2	1	225	4	1	2	573
2.244	1	1	225	5	1	2	573
2.245	1	1	225	6	1	2	573
2.246	1	1	225	7	1	2	573
2.247	1	1	225	8	1	2	573
2.258	1	1	226	9	1	28	9422
2.259	1	1	226	10	1	28	9422
2.26	1	1	227	1	1	28	9422
2.261	1	1	227	2	1	28	9422
2.261	2	1	227	2	1	2	573
2.262	1	1	227	3	1	28	9422
2.262	2	1	227	3	1	2	573
2.263	1	1	227	4	1	28	9422
2.263	2	1	227	4	1	2	573
2.264	1	1	227	5	1	28	9422
2.264	2	1	227	5	1	2	573
2.265	1	1	227	6	1	28	9422
2.265	2	1	227	6	1	2	573
2.266	1	1	227	7	1	28	9422
2.266	2	1	227	7	1	2	573
2.267	1	1	227	8	1	28	9422
2.267	2	1	227	8	1	2	573
2.268	1	1	227	9	1	28	9422
2.268	2	1	227	9	1	2	573
2.269	1	1	227	10	1	28	9422
2.27	1	1	228	1	1	28	9422
2.271	1	1	228	2	1	28	9422
2.272	1	1	228	3	1	28	9422
2.292	1	1	230	3	1	2	573
2.292	2	1	230	3	1	2	573
2.293	1	1	230	4	1	2	573
2.294	1	1	230	5	1	2	573
2.295	1	1	230	6	1	2	573
2.3	1	1	231	1	1	28	9422
2.301	1	1	231	2	1	28	9422
2.302	1	1	231	3	1	28	9422
2.303	1	1	231	4	1	28	9422
2.304	1	1	231	5	1	28	9422
2.305	1	1	231	6	1	28	9422
2.306	1	1	231	7	1	28	9422
2.307	1	1	231	8	1	28	9422
2.308	1	1	231	9	1	28	9422
2.309	1	1	231	10	1	28	9422
2.329	1	1	233	10	1	2	573
2.329	2	1	233	10	1	2	573
2.33	1	1	234	1	1	2	573
2.331	1	1	234	2	1	2	573
2.332	1	1	234	3	1	2	573
2.333	1	1	234	4	1	2	573
2.334	1	1	234	5	1	2	573
