% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
2497	1	1	1	0	28	9422	0	1
2498	1	1	1	0	28	9422	0	1
2499	1	1	1	0	28	9422	0	1
2500	1	1	1	0	28	9422	0	1
2519	1	1	1	0	28	9422	0	1
2520	1	1	1	0	28	9422	0	1
2521	1	1	1	0	28	9422	0	1
2525	1	1	1	0	28	9422	0	1
2526	1	1	1	0	28	9422	0	1
2527	1	1	1	0	2	573	0	1
2528	1	1	1	0	28	9422	0	1
2529	1	1	1	0	28	9422	0	1
2530	1	1	1	0	28	9422	0	1
2531	1	1	1	0	28	9422	0	1
2532	1	1	1	0	28	9422	0	1
2533	1	1	1	0	28	9422	0	1
2534	1	1	1	0	28	9422	0	1
2535	1	1	1	0	28	9422	0	1
2536	1	1	1	0	28	9422	0	1
2537	1	1	1	0	28	9422	0	1
2555	1	1	1	0	28	9422	0	1
2556	1	1	1	0	28	9422	0	1
2557	1	1	1	0	28	9422	0	1
2561	1	1	1	0	28	9422	0	1
2562	1	1	1	0	28	9422	0	1
2563	1	1	1	0	28	9422	0	1
2564	1	1	1	0	28	9422	0	1
2565	1	1	1	0	28	9422	0	1
2566	1	1	1	0	28	9422	0	1
2567	1	1	1	0	2	573	0	1
2568	1	1	1	0	28	9422	0	1
2569	1	1	1	0	28	9422	0	1
2570	1	1	1	0	28	9422	0	1
2571	1	1	1	0	28	9422	0	1
2572	1	1	1	0	28	9422	0	1
2591	1	1	1	0	28	9422	0	1
2592	1	1	1	0	28	9422	0	1
2593	1	1	1	0	28	9422	0	1
2597	1	1	1	0	28	9422	0	1
2598	1	1	1	0	28	9422	0	1
2599	1	1	1	0	28	9422	0	1
2600	1	1	1	0	28	9422	0	1
2601	1	1	1	0	28	9422	0	1
2602	1	1	1	0	28	9422	0	1
2603	1	1	1	0	28	9422	0	1
2604	1	1	1	0	28	9422	0	1
2605	1	1	1	0	28	9422	0	1
2606	1	1	1	0	28	9422	0	1
2607	1	1	1	0	2	573	0	1
2608	1	1	1	0	28	9422	0	1
2609	1	1	1	0	28	9422	0	1
