% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
1.698	2	1	170	9	1	28	9422	0	0
1.699	2	1	170	10	1	28	9422	0	0
1.7	2	1	171	1	1	28	9422	0	0
1.701	1	1	171	2	1	28	9422	0	0
1.701	2	1	171	2	1	28	9422	0	0
1.702	2	1	171	3	1	28	9422	0	0
1.703	2	1	171	4	1	28	9422	0	0
1.704	2	1	171	5	1	28	9422	0	0
1.705	2	1	171	6	1	28	9422	0	0
1.706	2	1	171	7	1	28	9422	0	0
1.707	2	1	171	8	1	28	9422	0	0
1.708	2	1	171	9	1	28	9422	0	0
1.709	2	1	171	10	1	28	9422	0	0
1.71	2	1	172	1	1	28	9422	0	0
1.711	2	1	172	2	1	28	9422	0	0
1.712	1	1	172	3	1	28	9422	0	0
1.712	2	1	172	3	1	28	9422	0	0
1.713	2	1	172	4	1	28	9422	0	0
1.718	2	1	172	9	1	28	9422	0	0
1.719	2	1	172	10	1	28	9422	0	0
1.72	2	1	173	1	1	28	9422	0	0
1.721	2	1	173	2	1	28	9422	0	0
1.722	2	1	173	3	1	28	9422	0	0
1.723	2	1	173	4	1	28	9422	0	0
1.724	2	1	173	5	1	28	9422	0	0
1.725	2	1	173	6	1	28	9422	0	0
1.73	2	1	174	1	1	28	9422	0	0
1.731	2	1	174	2	1	28	9422	0	0
1.732	2	1	174	3	1	28	9422	0	0
1.733	2	1	174	4	1	28	9422	0	0
1.734	2	1	174	5	1	28	9422	0	0
1.735	2	1	174	6	1	28	9422	0	0
1.736	2	1	174	7	1	28	9422	0	0
1.737	2	1	174	8	1	28	9422	0	0
1.738	2	1	174	9	1	28	9422	0	0
1.739	2	1	174	10	1	28	9422	0	0
1.74	1	1	175	1	1	28	9422	0	0
1.74	2	1	175	1	1	28	9422	0	0
1.741	2	1	175	2	1	28	9422	0	0
1.742	2	1	175	3	1	28	9422	0	0
1.743	2	1	175	4	1	28	9422	0	0
1.744	2	1	175	5	1	28	9422	0	0
1.745	2	1	175	6	1	28	9422	0	0
1.746	2	1	175	7	1	28	9422	0	0
1.747	2	1	175	8	1	28	9422	0	0
1.748	2	1	175	9	1	28	9422	0	0
1.749	2	1	175	10	1	28	9422	0	0
1.75	2	1	176	1	1	28	9422	0	0
1.751	1	1	176	2	1	28	9422	0	0
1.751	2	1	176	2	1	28	9422	0	0
1.752	2	1	176	3	1	28	9422	0	0
1.753	2	1	176	4	1	28	9422	0	0
1.754	2	1	176	5	1	28	9422	0	0
1.755	2	1	176	6	1	28	9422	0	0
1.756	2	1	176	7	1	28	9422	0	0
1.757	2	1	176	8	1	28	9422	0	0
1.758	2	1	176	9	1	28	9422	0	0
1.763	2	1	177	4	1	28	9422	0	0
1.764	2	1	177	5	1	28	9422	0	0
1.765	2	1	177	6	1	28	9422	0	0
1.766	2	1	177	7	1	28	9422	0	0
1.767	2	1	177	8	1	28	9422	0	0
1.768	2	1	177	9	1	28	9422	0	0
1.769	2	1	177	10	1	28	9422	0	0
1.77	2	1	178	1	1	28	9422	0	0
1.775	2	1	178	6	1	28	9422	0	0
1.776	2	1	178	7	1	28	9422	0	0
1.777	2	1	178	8	1	28	9422	0	0
1.778	2	1	178	9	1	28	9422	0	0
1.779	2	1	178	10	1	28	9422	0	0
1.78	2	1	179	1	1	28	9422	0	0
1.781	2	1	179	2	1	28	9422	0	0
1.782	2	1	179	3	1	28	9422	0	0
1.783	2	1	179	4	1	28	9422	0	0
1.784	2	1	179	5	1	28	9422	0	0
1.785	1	1	179	6	1	28	9422	0	0
1.785	2	1	179	6	1	28	9422	0	0
1.786	2	1	179	7	1	28	9422	0	0
1.787	2	1	179	8	1	28	9422	0	0
1.788	2	1	179	9	1	28	9422	0	0
1.789	2	1	179	10	1	28	9422	0	0
1.79	2	1	180	1	1	28	9422	0	0
1.791	2	1	180	2	1	28	9422	0	0
1.792	2	1	180	3	1	28	9422	0	0
1.793	2	1	180	4	1	28	9422	0	0
1.794	2	1	180	5	1	28	9422	0	0
1.795	2	1	180	6	1	28	9422	0	0
1.796	1	1	180	7	1	28	9422	0	0
1.796	2	1	180	7	1	28	9422	0	0
1.801	2	1	181	2	1	28	9422	0	0
1.802	2	1	181	3	1	28	9422	0	0
1.803	2	1	181	4	1	28	9422	0	0
1.804	2	1	181	5	1	28	9422	0	0
1.805	2	1	181	6	1	28	9422	0	0
1.806	2	1	181	7	1	28	9422	0	0
1.807	2	1	181	8	1	28	9422	0	0
1.808	2	1	181	9	1	28	9422	0	0
1.813	2	1	182	4	1	28	9422	0	0
1.814	2	1	182	5	1	28	9422	0	0
1.815	2	1	182	6	1	28	9422	0	0
1.816	2	1	182	7	1	28	9422	0	0
1.817	2	1	182	8	1	28	9422	0	0
1.818	2	1	182	9	1	28	9422	0	0
1.819	2	1	182	10	1	28	9422	0	0
1.82	2	1	183	1	1	28	9422	0	0
1.821	2	1	183	2	1	28	9422	0	0
1.822	2	1	183	3	1	28	9422	0	0
1.823	2	1	183	4	1	28	9422	0	0
1.824	2	1	183	5	1	28	9422	0	0
1.825	2	1	183	6	1	28	9422	0	0
1.826	2	1	183	7	1	28	9422	0	0
1.827	2	1	183	8	1	28	9422	0	0
1.828	2	1	183	9	1	28	9422	0	0
1.829	2	1	183	10	1	28	9422	0	0
1.83	2	1	184	1	1	28	9422	0	0
1.831	2	1	184	2	1	28	9422	0	0
1.832	2	1	184	3	1	28	9422	0	0
1.833	1	1	184	4	1	28	9422	0	0
1.833	2	1	184	4	1	28	9422	0	0
1.834	2	1	184	5	1	28	9422	0	0
1.835	2	1	184	6	1	28	9422	0	0
1.836	2	1	184	7	1	28	9422	0	0
1.837	2	1	184	8	1	28	9422	0	0
1.838	2	1	184	9	1	28	9422	0	0
1.839	2	1	184	10	1	28	9422	0	0
1.84	2	1	185	1	1	28	9422	0	0
1.845	2	1	185	6	1	28	9422	0	0
1.846	2	1	185	7	1	28	9422	0	0
1.847	2	1	185	8	1	28	9422	0	0
1.848	2	1	185	9	1	28	9422	0	0
1.849	2	1	185	10	1	28	9422	0	0
1.85	2	1	186	1	1	28	9422	0	0
1.851	2	1	186	2	1	28	9422	0	0
1.852	2	1	186	3	1	28	9422	0	0
1.857	2	1	186	8	1	28	9422	0	0
1.858	2	1	186	9	1	28	9422	0	0
1.859	2	1	186	10	1	28	9422	0	0
1.86	2	1	187	1	1	28	9422	0	0
1.861	2	1	187	2	1	28	9422	0	0
1.862	2	1	187	3	1	28	9422	0	0
1.863	2	1	187	4	1	28	9422	0	0
1.864	2	1	187	5	1	28	9422	0	0
1.865	2	1	187	6	1	28	9422	0	0
1.866	2	1	187	7	1	28	9422	0	0
1.867	1	1	187	8	1	28	9422	0	0
1.867	2	1	187	8	1	28	9422	0	0
1.868	2	1	187	9	1	28	9422	0	0
1.869	2	1	187	10	1	28	9422	0	0
1.87	2	1	188	1	1	28	9422	0	0
1.871	2	1	188	2	1	28	9422	0	0
