% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
2040	2	1	1	0	28	9422	0	1
2041	2	1	1	0	28	9422	0	1
2042	2	1	1	0	28	9422	0	1
2043	2	1	1	0	28	9422	0	1
2044	2	1	1	0	28	9422	0	1
2045	2	1	1	0	28	9422	0	1
2046	1	1	1	0	28	9422	0	1
2046	2	1	1	0	28	9422	0	1
2047	2	1	1	0	28	9422	0	1
2052	2	1	1	0	28	9422	0	1
2053	2	1	1	0	28	9422	0	1
2054	2	1	1	0	28	9422	0	1
2055	2	1	1	0	28	9422	0	1
2056	2	1	1	0	28	9422	0	1
2057	2	1	1	0	28	9422	0	1
2058	2	1	1	0	28	9422	0	1
2059	2	1	1	0	28	9422	0	1
2064	2	1	1	0	28	9422	0	1
2065	2	1	1	0	28	9422	0	1
2066	2	1	1	0	28	9422	0	1
2067	2	1	1	0	28	9422	0	1
2068	2	1	1	0	28	9422	0	1
2069	2	1	1	0	28	9422	0	1
2070	2	1	1	0	28	9422	0	1
2071	2	1	1	0	28	9422	0	1
2072	2	1	1	0	28	9422	0	1
2073	2	1	1	0	28	9422	0	1
2074	2	1	1	0	28	9422	0	1
2075	2	1	1	0	28	9422	0	1
2076	2	1	1	0	28	9422	0	1
2077	2	1	1	0	28	9422	0	1
2078	2	1	1	0	28	9422	0	1
2079	2	1	1	0	28	9422	0	1
2080	2	1	1	0	28	9422	0	1
2081	2	1	1	0	28	9422	0	1
2082	2	1	1	0	28	9422	0	1
2083	2	1	1	0	28	9422	0	1
2084	2	1	1	0	28	9422	0	1
2085	2	1	1	0	28	9422	0	1
2086	2	1	1	0	28	9422	0	1
2087	2	1	1	0	28	9422	0	1
2088	2	1	1	0	28	9422	0	1
2089	1	1	1	0	28	9422	0	1
2089	2	1	1	0	28	9422	0	1
2090	2	1	1	0	28	9422	0	1
2091	2	1	1	0	28	9422	0	1
2092	2	1	1	0	28	9422	0	1
2093	2	1	1	0	28	9422	0	1
2094	2	1	1	0	28	9422	0	1
2095	2	1	1	0	28	9422	0	1
2096	2	1	1	0	28	9422	0	1
2101	2	1	1	0	28	9422	0	1
2102	2	1	1	0	28	9422	0	1
2103	2	1	1	0	28	9422	0	1
2104	2	1	1	0	28	9422	0	1
2105	2	1	1	0	28	9422	0	1
2106	2	1	1	0	28	9422	0	1
2107	2	1	1	0	28	9422	0	1
2108	2	1	1	0	28	9422	0	1
2113	2	1	1	0	28	9422	0	1
2114	2	1	1	0	28	9422	0	1
2115	2	1	1	0	28	9422	0	1
2116	2	1	1	0	28	9422	0	1
2117	2	1	1	0	28	9422	0	1
2118	2	1	1	0	28	9422	0	1
2119	2	1	1	0	28	9422	0	1
2120	2	1	1	0	28	9422	0	1
2121	2	1	1	0	28	9422	0	1
2122	2	1	1	0	28	9422	0	1
2123	2	1	1	0	28	9422	0	1
2124	2	1	1	0	28	9422	0	1
2125	2	1	1	0	28	9422	0	1
2126	2	1	1	0	28	9422	0	1
2127	2	1	1	0	28	9422	0	1
2128	2	1	1	0	28	9422	0	1
2129	2	1	1	0	28	9422	0	1
2130	1	1	1	0	28	9422	0	1
2130	2	1	1	0	28	9422	0	1
2131	2	1	1	0	28	9422	0	1
2132	2	1	1	0	28	9422	0	1
2133	2	1	1	0	28	9422	0	1
2134	2	1	1	0	28	9422	0	1
2135	2	1	1	0	28	9422	0	1
2136	2	1	1	0	28	9422	0	1
2137	2	1	1	0	28	9422	0	1
2138	2	1	1	0	28	9422	0	1
2143	2	1	1	0	28	9422	0	1
2144	2	1	1	0	28	9422	0	1
2145	2	1	1	0	28	9422	0	1
2146	2	1	1	0	28	9422	0	1
2147	2	1	1	0	28	9422	0	1
2148	2	1	1	0	28	9422	0	1
2149	2	1	1	0	28	9422	0	1
2150	2	1	1	0	28	9422	0	1
2155	2	1	1	0	28	9422	0	1
2156	2	1	1	0	28	9422	0	1
2157	2	1	1	0	28	9422	0	1
2158	2	1	1	0	28	9422	0	1
2159	2	1	1	0	28	9422	0	1
2160	2	1	1	0	28	9422	0	1
2161	2	1	1	0	28	9422	0	1
2162	2	1	1	0	28	9422	0	1
2163	2	1	1	0	28	9422	0	1
2164	2	1	1	0	28	9422	0	1
2165	1	1	1	0	28	9422	0	1
2165	2	1	1	0	28	9422	0	1
2166	2	1	1	0	28	9422	0	1
2167	2	1	1	0	28	9422	0	1
2168	2	1	1	0	28	9422	0	1
2169	2	1	1	0	28	9422	0	1
2170	2	1	1	0	28	9422	0	1
2171	2	1	1	0	28	9422	0	1
2172	2	1	1	0	28	9422	0	1
2173	2	1	1	0	28	9422	0	1
2174	2	1	1	0	28	9422	0	1
2175	2	1	1	0	28	9422	0	1
2176	1	1	1	0	28	9422	0	1
2176	2	1	1	0	28	9422	0	1
2177	2	1	1	0	28	9422	0	1
2178	2	1	1	0	28	9422	0	1
2179	2	1	1	0	28	9422	0	1
2184	2	1	1	0	28	9422	0	1
2185	2	1	1	0	28	9422	0	1
2186	2	1	1	0	28	9422	0	1
2187	2	1	1	0	28	9422	0	1
2188	2	1	1	0	28	9422	0	1
2189	2	1	1	0	28	9422	0	1
2190	2	1	1	0	28	9422	0	1
2191	2	1	1	0	28	9422	0	1
2196	2	1	1	0	28	9422	0	1
2197	2	1	1	0	28	9422	0	1
2198	2	1	1	0	28	9422	0	1
2199	2	1	1	0	28	9422	0	1
2200	2	1	1	0	28	9422	0	1
2201	2	1	1	0	28	9422	0	1
2202	2	1	1	0	28	9422	0	1
